il,ilce,Olumlu,Olumsuz,,REFARANDUMDA OY KULLANAN ﬁEH›RLER›N EVET - HAYIR OY ORANLARI,,,,,,,
«ANAKKALE,,139974,213991,,,,,,,,,
«ANAKKALE,AYVACIK,9183,13142,,,,,,,,,
«ANAKKALE,BAYRAM›«,8151,13363,,,,,,,,,
«ANAKKALE,B›GA,31019,29590,,,,,,,,,
«ANAKKALE,BOZCAADA,458,1406,,,,,,,,,
«ANAKKALE,«AN,16201,19167,,,,,,,,,
«ANAKKALE,ECEABAT,1459,5128,,,,,,,,,
«ANAKKALE,EZ›NE,8287,13118,,,,,,,,,
«ANAKKALE,GEL›BOLU,8784,18815,,,,,,,,,
«ANAKKALE,G÷K«EADA,1805,2884,,,,,,,,,
«ANAKKALE,LAPSEK›,9071,9527,,,,,,,,,
«ANAKKALE,MERKEZ,31226,78244,,,,,,,,,
«ANAKKALE,YEN›CE,14330,9607,,,,,,,,,
«ANKIRI,,79760,28980,,,,,,,,,
«ANKIRI,ATKARACALAR,2043,545,,,,,,,,,
«ANKIRI,BAYRAM÷REN,1217,260,,,,,,,,,
«ANKIRI,«ERKEﬁ,5835,3086,,,,,,,,,
«ANKIRI,ELD›VAN,2798,1024,,,,,,,,,
«ANKIRI,ILGAZ,6666,2034,,,,,,,,,
«ANKIRI,KIZILIRMAK,4062,793,,,,,,,,,
«ANKIRI,KORGUN,2093,438,,,,,,,,,
«ANKIRI,KURﬁUNLU,3437,1289,,,,,,,,,
«ANKIRI,MERKEZ,36819,16016,,,,,,,,,
«ANKIRI,ORTA,5604,713,,,,,,,,,
«ANKIRI,ﬁABAN÷Z‹,4534,2253,,,,,,,,,
«ANKIRI,YAPRAKLI,4652,529,,,,,,,,,
«ORUM,,219394,120814,,,,,,,,,
«ORUM,ALACA,14369,6663,,,,,,,,,
«ORUM,BAYAT,9004,1943,,,,,,,,,
«ORUM,BO–AZKALE,2061,434,,,,,,,,,
«ORUM,DODURGA,2573,1591,,,,,,,,,
«ORUM,›SK›L›P,17187,4797,,,,,,,,,
«ORUM,KARGI,7688,2860,,,,,,,,,
«ORUM,LA«›N,2105,1033,,,,,,,,,
«ORUM,MEC›T÷Z‹,6287,4731,,,,,,,,,
«ORUM,MERKEZ,106689,74987,,,,,,,,,
«ORUM,O–UZLAR,2776,1196,,,,,,,,,
«ORUM,ORTAK÷Y,2816,2087,,,,,,,,,
«ORUM,OSMANCIK,19988,8695,,,,,,,,,
«ORUM,SUNGURLU,22431,9072,,,,,,,,,
«ORUM,U–URLUDA–,3420,725,,,,,,,,,
DEN›ZL›,,289986,361198,,,,,,,,,
DEN›ZL›,ACIPAYAM,20224,17176,,,,,,,,,
DEN›ZL›,BABADA–,2162,2215,,,,,,,,,
DEN›ZL›,BAKLAN,1825,2054,,,,,,,,,
DEN›ZL›,BEK›LL›,1747,3313,,,,,,,,,
DEN›ZL›,BEYA–A«,2366,2226,,,,,,,,,
DEN›ZL›,BOZKURT,3071,4591,,,,,,,,,
DEN›ZL›,BULDAN,7659,10700,,,,,,,,,
DEN›ZL›,«AL,5405,8590,,,,,,,,,
DEN›ZL›,«AMEL›,8824,3730,,,,,,,,,
DEN›ZL›,«ARDAK,2476,3271,,,,,,,,,
DEN›ZL›,«›VR›L,17616,21881,,,,,,,,,
DEN›ZL›,G‹NEY,3093,4196,,,,,,,,,
DEN›ZL›,HONAZ,8060,11359,,,,,,,,,
DEN›ZL›,KALE,8203,4969,,,,,,,,,
DEN›ZL›,MERKEZEFEND›,76896,109883,,,,,,,,,
DEN›ZL›,PAMUKKALE,92504,118626,,,,,,,,,
DEN›ZL›,SARAYK÷Y,6582,13663,,,,,,,,,
DEN›ZL›,SER›NH›SAR,4777,5022,,,,,,,,,
DEN›ZL›,TAVAS,16496,13733,,,,,,,,,
D›YARBAKIR,,251733,525089,,,,,,,,,
D›YARBAKIR,BA–LAR,49432,128685,,,,,,,,,
D›YARBAKIR,B›SM›L,13743,40529,,,,,,,,,
D›YARBAKIR,«ERM›K,14166,7623,,,,,,,,,
D›YARBAKIR,«INAR,12608,17099,,,,,,,,,
D›YARBAKIR,«‹NG‹ﬁ,3352,2041,,,,,,,,,
D›YARBAKIR,D›CLE,6085,8944,,,,,,,,,
D›YARBAKIR,E–›L,4445,4536,,,,,,,,,
D›YARBAKIR,ERGAN›,22281,36344,,,,,,,,,
D›YARBAKIR,HAN›,6860,5366,,,,,,,,,
D›YARBAKIR,HAZRO,1772,5326,,,,,,,,,
D›YARBAKIR,KAYAPINAR,49641,111115,,,,,,,,,
D›YARBAKIR,KOCAK÷Y,1754,6240,,,,,,,,,
D›YARBAKIR,KULP,6321,9296,,,,,,,,,
D›YARBAKIR,L›CE,1867,11211,,,,,,,,,
D›YARBAKIR,S›LVAN,8160,30599,,,,,,,,,
D›YARBAKIR,SUR,18371,34028,,,,,,,,,
D›YARBAKIR,YEN›ﬁEH›R,30875,66107,,,,,,,,,
D‹ZCE,,164122,68476,,,,,,,,,
D‹ZCE,AK«AKOCA,15321,10176,,,,,,,,,
D‹ZCE,CUMAYER›,7008,1999,,,,,,,,,
D‹ZCE,«›L›ML›,9566,2955,,,,,,,,,
D‹ZCE,G÷LYAKA,9716,4046,,,,,,,,,
D‹ZCE,G‹M‹ﬁOVA,7298,2730,,,,,,,,,
D‹ZCE,KAYNAﬁLI,10738,2735,,,,,,,,,
D‹ZCE,MERKEZ,96304,42130,,,,,,,,,
D‹ZCE,YI–ILCA,8171,1705,,,,,,,,,
ED›RNE,,78914,188556,,,,,,,,,
ED›RNE,ENEZ,1949,5679,,,,,,,,,
ED›RNE,HAVSA,3812,10352,,,,,,,,,
ED›RNE,›PSALA,6877,12295,,,,,,,,,
ED›RNE,KEﬁAN,17022,36387,,,,,,,,,
ED›RNE,LALAPAﬁA,2030,2732,,,,,,,,,
ED›RNE,MER›«,3291,6594,,,,,,,,,
ED›RNE,MERKEZ,30758,80688,,,,,,,,,
ED›RNE,S‹LO–LU,1582,2778,,,,,,,,,
ED›RNE,UZUNK÷PR‹,11593,31051,,,,,,,,,
ELAZI–,,240773,94620,,,,,,,,,
ELAZI–,A–IN,1009,653,,,,,,,,,
ELAZI–,ALACAKAYA,3071,797,,,,,,,,,
ELAZI–,ARICAK,5887,1223,,,,,,,,,
ELAZI–,BASK›L,7522,1144,,,,,,,,,
ELAZI–,KARAKO«AN,8857,6467,,,,,,,,,
ELAZI–,KEBAN,3244,948,,,,,,,,,
ELAZI–,KOVANCILAR,17226,3053,,,,,,,,,
ELAZI–,MADEN,4081,2036,,,,,,,,,
ELAZI–,MERKEZ,175682,76464,,,,,,,,,
ELAZI–,PALU,10295,880,,,,,,,,,
ELAZI–,S›VR›CE,3899,955,,,,,,,,,
ERZ›NCAN,,80903,52816,,,,,,,,,
ERZ›NCAN,«AYIRLI,3395,2231,,,,,,,,,
ERZ›NCAN,›L›«,3394,1246,,,,,,,,,
ERZ›NCAN,KEMAH,2441,1612,,,,,,,,,
ERZ›NCAN,KEMAL›YE,1911,811,,,,,,,,,
ERZ›NCAN,MERKEZ,54774,38098,,,,,,,,,
ERZ›NCAN,OTLUKBEL›,1162,196,,,,,,,,,
ERZ›NCAN,REFAH›YE,3991,1761,,,,,,,,,
ERZ›NCAN,TERCAN,5661,3934,,,,,,,,,
ERZ›NCAN,‹Z‹ML‹,4174,2927,,,,,,,,,
ERZURUM,,300589,103007,,,,,,,,,
ERZURUM,AﬁKALE,11400,2281,,,,,,,,,
ERZURUM,AZ›Z›YE,26087,5609,,,,,,,,,
ERZURUM,«AT,6561,2208,,,,,,,,,
ERZURUM,HINIS,5826,5545,,,,,,,,,
ERZURUM,HORASAN,17560,2469,,,,,,,,,
ERZURUM,›SP›R,7627,1333,,,,,,,,,
ERZURUM,KARA«OBAN,2892,5664,,,,,,,,,
ERZURUM,KARAYAZI,4849,7281,,,,,,,,,
ERZURUM,K÷PR‹K÷Y,7578,864,,,,,,,,,
ERZURUM,NARMAN,6625,1360,,,,,,,,,
ERZURUM,OLTU,15162,3323,,,,,,,,,
ERZURUM,OLUR,3284,898,,,,,,,,,
ERZURUM,PALAND÷KEN,68089,26567,,,,,,,,,
ERZURUM,PAS›NLER,13238,2958,,,,,,,,,
ERZURUM,PAZARYOLU,2115,205,,,,,,,,,
ERZURUM,ﬁENKAYA,6617,3879,,,,,,,,,
ERZURUM,TEKMAN,4004,5912,,,,,,,,,
ERZURUM,TORTUM,9132,1041,,,,,,,,,
ERZURUM,UZUNDERE,4388,757,,,,,,,,,
ERZURUM,YAKUT›YE,77555,22853,,,,,,,,,
ESK›ﬁEH›R,,236994,321623,,,,,,,,,
ESK›ﬁEH›R,ALPU,4528,2975,,,,,,,,,
ESK›ﬁEH›R,BEYL›KOVA,2386,2304,,,,,,,,,
ESK›ﬁEH›R,«›FTELER,4870,4502,,,,,,,,,
ESK›ﬁEH›R,G‹NY‹Z‹,2844,1113,,,,,,,,,
ESK›ﬁEH›R,HAN,626,747,,,,,,,,,
ESK›ﬁEH›R,›N÷N‹,2889,2011,,,,,,,,,
ESK›ﬁEH›R,MAHMUD›YE,2176,2695,,,,,,,,,
ESK›ﬁEH›R,M›HALGAZ›,1551,823,,,,,,,,,
ESK›ﬁEH›R,M›HALI««IK,2916,2652,,,,,,,,,
ESK›ﬁEH›R,ODUNPAZARI,103184,154366,,,,,,,,,
ESK›ﬁEH›R,SARICAKAYA,2479,1101,,,,,,,,,
ESK›ﬁEH›R,SEY›TGAZ›,4789,4906,,,,,,,,,
ESK›ﬁEH›R,S›VR›H›SAR,7213,6359,,,,,,,,,
ESK›ﬁEH›R,TEPEBAﬁI,94543,135069,,,,,,,,,
GAZ›ANTEP,,603954,363136,,,,,,,,,
GAZ›ANTEP,ARABAN,10828,5385,,,,,,,,,
GAZ›ANTEP,›SLAH›YE,22620,13162,,,,,,,,,
GAZ›ANTEP,KARKAMIﬁ,3303,2309,,,,,,,,,
GAZ›ANTEP,N›Z›P,47291,23143,,,,,,,,,
GAZ›ANTEP,NURDA–I,16030,4965,,,,,,,,,
GAZ›ANTEP,O–UZEL›,11019,5583,,,,,,,,,
GAZ›ANTEP,ﬁAH›NBEY,264052,166960,,,,,,,,,
GAZ›ANTEP,ﬁEH›TKAM›L,221194,138229,,,,,,,,,
GAZ›ANTEP,YAVUZEL›,7617,3400,,,,,,,,,
G›RESUN,,164567,102329,,,,,,,,,
G›RESUN,ALUCRA,4021,792,,,,,,,,,
G›RESUN,BULANCAK,26450,15203,,,,,,,,,
G›RESUN,«AMOLUK,2917,414,,,,,,,,,
G›RESUN,«ANAK«I,2996,990,,,,,,,,,
G›RESUN,DEREL›,10025,2775,,,,,,,,,
G›RESUN,DO–ANKENT,3008,1067,,,,,,,,,
G›RESUN,ESP›YE,12959,7325,,,,,,,,,
G›RESUN,EYNES›L,4891,2918,,,,,,,,,
G›RESUN,G÷RELE,10718,7667,,,,,,,,,
G›RESUN,G‹CE,4133,1057,,,,,,,,,
G›RESUN,KEﬁAP,8123,5316,,,,,,,,,
G›RESUN,MERKEZ,40129,41233,,,,,,,,,
G›RESUN,P›RAZ›Z,4902,3545,,,,,,,,,
G›RESUN,ﬁEB›NKARAH›SAR,9022,2742,,,,,,,,,
G›RESUN,T›REBOLU,12177,7318,,,,,,,,,
G›RESUN,YA–LIDERE,8096,1967,,,,,,,,,
G‹M‹ﬁHANE,,54601,18050,,,,,,,,,
G‹M‹ﬁHANE,KELK›T,15588,3061,,,,,,,,,
G‹M‹ﬁHANE,K÷SE,3066,434,,,,,,,,,
G‹M‹ﬁHANE,K‹RT‹N,5924,1325,,,,,,,,,
G‹M‹ﬁHANE,MERKEZ,18880,9033,,,,,,,,,
G‹M‹ﬁHANE,ﬁ›RAN,6645,2250,,,,,,,,,
G‹M‹ﬁHANE,TORUL,4498,1947,,,,,,,,,
HAKKAR›,,41104,85689,,,,,,,,,
HAKKAR›,«UKURCA,2417,4607,,,,,,,,,
HAKKAR›,MERKEZ,10378,27672,,,,,,,,,
HAKKAR›,ﬁEMD›NL›,15850,11646,,,,,,,,,
HAKKAR›,Y‹KSEKOVA,12459,41764,,,,,,,,,
HATAY,,401405,477978,,,,,,,,,
